incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,notes,created_at,updated_at
2021-1020-001,Nakamura Materials Corp.,9204366431.99,AT,31-33,92,30196,True,NAKA.VI,2021-10-20,False,2021-11-21,2021-12-29,ransomware,malware,,,,,,website,77.9,https://therecord.media/2021/07/14/nakamura-materials-corp-breached,,verified_media,4,94.46,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0818-001,MarketFresh Stores Corp.,108537488953.55,CA,44-45,,723769,True,MAR1.TO,2025-08-18,False,2025-08-26,2025-09-16,apt,ddos,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,BlackBasta,suspected,143751,IP,HR_systems,134.16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001168099&type=8-K&dateb=20250225&owner=include&count=10,https://www.marketfresh-stores-corp.com/newsroom/2025/07/security-update,sec_filing,1,54.42,Bronze,low_quality_score,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0626-001,VectorWire Security Ltd.,901886399.41,AU,51,,1575,True,VECT.AX,2025-06-26,False,2025-07-08,2025-08-16,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Killnet,suspected,61262,credentials,"HR_systems,customer_database,VPN,SSO",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001307696&type=8-K&dateb=20250802&owner=include&count=10,https://www.vectorwire-security-ltd.com/newsroom/2025/01/security-update,sec_filing,1,60.26,Bronze,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1214-001,Bordeaux Insurance SA,17651968152.39,FR,52,,65575,True,BORD.PA,2023-12-14,False,2023-12-15,2023-12-27,supply_chain,,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,Turla,probable,,,"email,SCADA,customer_database,HR_systems,cloud_infrastructure",,https://www.bordeaux-insurance-sa.com/newsroom/2023/10/security-update,,company_pr,2,79.68,Silver,,Employee count approximate; sourced from LinkedIn company page,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0810-001,Forge Shop Outlets Co.,107194946506.97,US,44-45,,830594,True,FSO,2025-08-10,False,2025-08-24,2025-10-16,ransomware,data_breach,,Hunters_International,unknown,,,"website,HR_systems,manufacturing_OT",106.43,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001161684&type=8-K&dateb=20251019&owner=include&count=10,https://www.mandiant.com/resources/blog/forge-shop-outlets-c-incident-response-2025,sec_filing,1,99.23,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1201-001,Wolverine Risk Bancorp Co.,307240029.02,US,52,,621,True,WRB,2025-12-01,False,2026-01-02,2026-02-02,phishing,,,,,4291,PII,active_directory,,https://www.mandiant.com/resources/blog/wolverine-risk-banco-incident-response-2025,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001833510&type=8-K&dateb=20250712&owner=include&count=10,cybersecurity_firm,3,75.45,Silver,,Third-party managed service provider was initial entry point,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0312-001,LinkSignal Labs Group Ltd.,2346673709.12,AU,51,,5401,False,,2021-03-12,False,2021-03-30,2021-04-23,phishing,,,FIN7,probable,5344,mixed,"SCADA,cloud_infrastructure,website",,https://therecord.media/2021/05/18/linksignal-labs-group-ltd-breached,https://www.linksignal-labs-group-ltd.com/newsroom/2021/05/security-update,verified_media,3,74.72,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0512-001,Gallagher Administration Group Inc.,826792409.83,US,92,51,5756,False,,2023-05-12,True,2023-06-12,2023-06-27,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Vice_Society,suspected,13561,IP,"ERP,HR_systems,VPN,customer_database",235.57,https://www.gallagher-administration-.com/newsroom/2023/08/security-update,,company_pr,2,74.28,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0227-001,Harbor Prime Group Group PLC,1522942145.8,GB,44-45,,12948,True,HARB.L,2022-02-27,True,2022-03-11,2022-03-29,data_breach,supply_chain,,,,4046,PII,"SSO,active_directory,manufacturing_OT,file_servers",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001193757&type=8-K&dateb=20221104&owner=include&count=10,,sec_filing,1,83.94,Silver,,Initially reported as IT maintenance outage; later reclassified as security incident,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1210-001,Coleman Rail SA,8988470795.46,CH,48-49,,45206,True,COLE.SW,2024-12-10,False,2025-02-13,2025-02-18,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,DarkSide,suspected,8233944,mixed,"active_directory,customer_database,VPN",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001677255&type=8-K&dateb=20241124&owner=include&count=10,,sec_filing,1,83.28,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1022-001,Brooks Consulting Co.,4675299195.72,US,54,,16667,False,,2025-10-22,False,2025-11-02,2025-12-22,ransomware,,,Play,probable,125179,mixed,"HR_systems,backup_systems",39.44,https://therecord.media/2025/11/13/brooks-consulting-co-breached,,verified_media,4,74.47,Silver,,Company undergoing M&A at time of incident; financial attribution complex,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0722-001,Gallagher Bank Inc.,4256767662.67,US,52,,10084,False,,2024-07-22,False,2024-10-24,2024-11-11,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,Scattered_Spider,unknown,220581,mixed,"file_servers,backup_systems",64.41,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001980165&type=8-K&dateb=20240518&owner=include&count=10,,sec_filing,1,74.4,Silver,,Multiple subsidiaries affected across 8 jurisdictions,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1119-001,Canberra Sciences Pty Ltd.,205226510.32,AU,62,,1087,False,,2023-11-19,False,2023-12-01,2023-12-11,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,1360,health,manufacturing_OT,,https://unit42.paloaltonetworks.com/threat-brief-canberra-sciences-pt-2023/,,cybersecurity_firm,3,92.53,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0219-001,FundRisk Bank Technologies Ltd.,61550130971.46,IL,52,,123675,True,FBT.TA,2022-02-19,False,2022-03-06,2022-03-21,ransomware,,,Hunters_International,probable,356997,credentials,ERP,33.7,https://www.mandiant.com/resources/blog/fundrisk-bank-techno-incident-response-2022,,cybersecurity_firm,3,81.69,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0718-001,Vertex Vista Technologies Pvt. Ltd.,8402494685.27,IN,51,,18988,True,VVT.NS,2024-07-18,False,2024-07-25,2024-08-01,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Play,probable,1134910,financial,SCADA,,https://blog.talosintelligence.com/2024/06/vertex-vista-technol-campaign.html,https://www.bleepingcomputer.com/news/security/vertex-vista-technologies-hit-by-cyberattack-2024/,cybersecurity_firm,3,84.79,Silver,,Company undergoing M&A at time of incident; financial attribution complex,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0825-001,Atlas Element MedTech S.p.A.,10118710778.4,IT,62,,63912,True,AEM.MI,2025-08-25,False,2025-11-24,2025-12-12,data_breach,ddos,,APT28,probable,23023,PII,"SCADA,active_directory,manufacturing_OT,VPN",,https://www.bleepingcomputer.com/news/security/atlas-element-medtech-spa-hit-by-cyberattack-2025/,,verified_media,4,83.34,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0601-001,Eindhoven Agency N.V.,1330577929.75,NL,92,,14167,False,,2023-06-01,False,2023-06-15,2023-06-20,malware,,,DarkSide,probable,1000,credentials,"email,VPN,CRM",420.72,https://www.aepd.es/decisions/2023/12/INQ-2023-00026,https://www.eindhoven-agency-nv.com/newsroom/2023/06/security-update,gdpr_notification,1,76.88,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0706-001,Atlanta Builders Group Inc.,131344615.21,US,23,,917,False,,2024-07-06,False,2024-07-16,2024-07-29,ddos,,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,,,,,"ERP,file_servers,SSO,cloud_infrastructure,SCADA",327.76,https://krebsonsecurity.com/2024/10/atlanta-builders-gro-breach-exposes-data/,https://www.ico.org.uk/decisions/2024/05/INQ-2024-00027,verified_media,4,90.83,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0716-001,Indigo Grid Corp Corp.,472599840.83,JP,22,,2005,False,,2022-07-16,False,2023-01-16,2023-02-21,data_breach,,,REvil,suspected,67418,PII,"SCADA,CRM,VPN,cloud_infrastructure",,https://www.mandiant.com/resources/blog/indigo-grid-corp-cor-incident-response-2022,https://www.indigo-grid-corp-corp.com/newsroom/2022/09/security-update,cybersecurity_firm,3,76.58,Silver,,Initially reported as IT maintenance outage; later reclassified as security incident,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1227-001,Takahashi Sciences Holdings Inc.,10092452867.3,US,62,,64897,False,,2022-12-27,True,2023-01-07,2023-01-22,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,112824,mixed,"CRM,SSO",18.65,https://www.bfdi.bund.de/decisions/2022/11/INQ-2022-00029,https://blog.talosintelligence.com/2022/11/takahashi-sciences-h-campaign.html,gdpr_notification,1,79.44,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1001-001,Ottawa Solutions Corp.,588367670.93,CA,56,52,20229,False,,2021-10-01,True,2021-10-11,2021-12-02,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,6094,credentials,"email,ERP,customer_database,cloud_infrastructure",320.38,https://therecord.media/2021/03/21/ottawa-solutions-corp-breached,https://www.ottawa-solutions-corp.com/newsroom/2021/02/security-update,verified_media,4,94.97,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1016-001,Novak Power GmbH,486061480.5,DE,22,52,1169,False,,2021-10-16,False,2021-10-21,2021-11-02,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Rhysida,probable,73945,mixed,"file_servers,active_directory,backup_systems,customer_database",,https://www.aepd.es/decisions/2021/04/INQ-2021-00031,,gdpr_notification,1,81.61,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0107-001,Compass Mold Materials S.A.,13786299333.98,BR,31-33,,46925,True,CMM.SA,2024-01-07,False,2024-07-07,2024-07-19,backdoor,,Exploitation of unpatched VPN appliance → web shell implant → SSH backdoor installed → persistent access maintained for 6+ months → bulk data exfiltration,Cuba_Ransomware,confirmed,,,payment_systems,,https://www.bfdi.bund.de/decisions/2024/01/INQ-2024-00032,,gdpr_notification,1,77.47,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0913-001,Meridian Crest Education Group PLC,168368637.62,GB,61,,2843,False,,2023-09-13,False,2023-12-13,2023-12-31,data_breach,,,Vice_Society,suspected,202763,health,"customer_database,SSO",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001687554&type=8-K&dateb=20231224&owner=include&count=10,https://unit42.paloaltonetworks.com/threat-brief-meridian-crest-educa-2023/,sec_filing,1,86.17,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1007-001,ToolComposite Defense Co. Ltd.,53071232.49,KR,31-33,,155,False,,2022-10-07,False,2022-12-07,2022-12-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,14466,financial,"SSO,CRM,backup_systems,payment_systems",59.18,https://www.toolcomposite-defense-co-.com/newsroom/2022/01/security-update,,company_pr,2,98.82,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1218-001,Houston Management Inc.,38449985.56,US,56,,542,True,HOUS,2022-12-18,False,2022-12-30,2023-01-29,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,,,HR_systems,121.22,https://krebsonsecurity.com/2022/09/houston-management-i-breach-exposes-data/,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001012537&type=8-K&dateb=20220304&owner=include&count=10,verified_media,3,73.31,Silver,,Initially reported as IT maintenance outage; later reclassified as security incident,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0214-001,Delhi BioSciences Holdings Ltd.,19776565178.07,IN,62,,111872,False,,2023-02-14,False,2023-02-22,2023-03-18,ddos,,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,,,,,"VPN,CRM,file_servers,cloud_infrastructure",38.05,https://www.crowdstrike.com/blog/delhi-biosciences-ho-intrusion-analysis-2023/,https://www.cnil.fr/decisions/2023/01/INQ-2023-00036,cybersecurity_firm,2,60.54,Bronze,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1203-001,SaveSave Commerce Corp.,118110131055.27,US,44-45,,1136850,True,SAVE,2021-12-03,True,2021-12-14,2022-01-28,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,72028142,PII,"VPN,CRM,SSO",,https://www.savesave-commerce-corp.com/newsroom/2021/12/security-update,https://www.bfdi.bund.de/decisions/2021/10/INQ-2021-00037,company_pr,2,85.57,Gold,large_breach_verify,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0209-001,Flynn Pharmaceuticals Co. Ltd.,36253095.63,JP,62,,434,False,,2022-02-09,False,2022-02-18,2022-02-26,data_breach,,,Conti,probable,12849,PII,CRM,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001768170&type=8-K&dateb=20220715&owner=include&count=10,https://www.flynn-pharmaceuticals-co-.com/newsroom/2022/07/security-update,sec_filing,1,56.99,Bronze,low_quality_score,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1111-001,Hughes Education Corp.,9358322328.66,US,61,,192975,False,,2023-11-11,False,2024-02-14,2024-02-25,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Royal,unknown,1000,health,"website,ERP,email",66.74,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001091884&type=8-K&dateb=20230114&owner=include&count=10,https://www.bleepingcomputer.com/news/security/hughes-education-corp-hit-by-cyberattack-2023/,sec_filing,1,94.57,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0901-001,Santos Services Group PLC,4527931829.25,GB,52,,9697,True,SANT.L,2025-09-01,True,2025-09-11,2025-11-10,phishing,,,,,8951,PII,"customer_database,website",,https://www.theregister.com/2025/03/02/santos-services-grou_security_incident/,https://www.crowdstrike.com/blog/santos-services-grou-intrusion-analysis-2025/,verified_media,4,98.66,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1016-001,Gallagher Staffing Ltd.,576231851.27,IL,56,,9593,False,,2025-10-16,False,2025-12-17,2026-02-20,ddos,,,,,,,"payment_systems,active_directory",113.32,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001249119&type=8-K&dateb=20250623&owner=include&count=10,https://www.bleepingcomputer.com/news/security/gallagher-staffing-ltd-hit-by-cyberattack-2025/,sec_filing,1,96.9,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0129-001,Sullivan Agency PLC,379566992.25,GB,92,72,3373,False,,2023-01-29,False,2023-02-13,2023-02-24,backdoor,,Exploitation of unpatched VPN appliance → web shell implant → SSH backdoor installed → persistent access maintained for 6+ months → bulk data exfiltration,,,,,"SSO,email",,https://www.cnil.fr/decisions/2023/08/INQ-2023-00042,,gdpr_notification,1,97.35,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1020-001,Flynn Holdings Group Ltd.,160877791.78,AU,52,,410,False,,2022-10-20,False,2022-12-20,2023-02-28,ransomware,ddos,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,,,"backup_systems,customer_database,HR_systems,SSO",134.87,https://www.theregister.com/2022/11/09/flynn-holdings-group_security_incident/,,verified_media,4,59.13,Bronze,low_quality_score,Concurrent with public CVE disclosure (CVE-2022-2022-16705),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0424-001,Mantis Lantern Biotech Group AB,455159513.75,SE,62,,2385,False,,2022-04-24,False,2022-05-29,2022-07-23,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,,,27829,credentials,"VPN,customer_database,HR_systems,file_servers,backup_systems",17.04,https://www.cnil.fr/decisions/2022/06/INQ-2022-00044,,gdpr_notification,1,71.75,Silver,,OT/ICS systems affected; physical operations suspended for 5 days,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0902-001,Anderson Securities Inc.,4681402229.24,US,52,,16493,False,,2023-09-02,False,2023-09-09,2023-10-14,apt,,,Conti,suspected,903745,PII,"payment_systems,customer_database,ERP",67.98,https://www.theregister.com/2023/05/10/anderson-securities-_security_incident/,,verified_media,4,75.03,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1124-001,Genoa Group S.r.l.,34348692144.96,IT,52,,71320,False,,2021-11-24,False,2021-12-05,2022-01-13,apt,,,Medusa,confirmed,233574,credentials,payment_systems,9.85,https://www.mandiant.com/resources/blog/genoa-group-srl-incident-response-2021,,cybersecurity_firm,3,74.21,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0216-001,Belfast Advisory Ltd.,6350774936.77,GB,54,,21535,True,BEL1.L,2023-02-16,False,2023-04-17,2023-06-02,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,228075,PII,SSO,134.74,https://www.mandiant.com/resources/blog/belfast-advisory-ltd-incident-response-2023,https://www.ico.org.uk/decisions/2023/11/INQ-2023-00047,cybersecurity_firm,3,69.01,Bronze,,Cross-border incident; primary filing in AEPD jurisdiction,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1013-001,DynamicMachine Products Pty Ltd.,93037502.07,AU,31-33,,323,False,,2023-10-13,True,2024-01-15,2024-01-28,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Hive,confirmed,87460,PII,"active_directory,SSO,website,ERP",167.96,https://www.bleepingcomputer.com/news/security/dynamicmachine-products-p-hit-by-cyberattack-2023/,,verified_media,4,70.26,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1202-001,Munich Genomics GmbH,314057889.27,DE,62,,1759,True,MUNI.DE,2024-12-02,False,2024-12-12,2024-12-25,ransomware,,,,,44647095,health,backup_systems,4.0,https://www.ico.org.uk/decisions/2024/10/INQ-2024-00049,https://krebsonsecurity.com/2024/04/munich-genomics-gmbh-breach-exposes-data/,gdpr_notification,1,71.61,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1210-002,Element Sentinel Healthcare Holdings PLC,94307168.16,GB,62,,629,False,,2024-12-10,False,2024-12-16,2025-01-17,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,DarkSide,suspected,2378160,credentials,"payment_systems,SSO,active_directory,email,manufacturing_OT",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001055642&type=8-K&dateb=20240705&owner=include&count=10,,sec_filing,1,96.25,Gold,,Concurrent with public CVE disclosure (CVE-2024-2024-55258),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1009-001,Delacroix Brands Holdings Inc.,271470360.97,US,44-45,,3950,False,,2024-10-09,True,2024-10-15,2024-10-31,ddos,,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,Turla,suspected,,,"manufacturing_OT,CRM,SCADA,website,SSO",6.74,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001538807&type=8-K&dateb=20240324&owner=include&count=10,https://www.aepd.es/decisions/2024/07/INQ-2024-00051,sec_filing,1,87.41,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0915-001,ServiceLink Staffing Inc.,27180206.2,CA,56,,862,False,,2024-09-15,False,2024-09-20,2024-10-21,malware,,,APT28,probable,14963,health,ERP,16.93,https://www.mandiant.com/resources/blog/servicelink-staffing-incident-response-2024,,cybersecurity_firm,3,98.74,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
